Sheet: Sheet2
Rows: 345, Cols: 18

Row 1: ['A=提交日期', 'B=商家ID', 'C=商家名稱', 'D=收貨電話', 'E=收貨地址', 'F=大膠袋', 'G=小膠袋', 'H=單杯無紡布袋', 'I=雙杯無紡布袋', 'J=3號無紡布袋', 'K=4號無紡布袋', 'L=紙袋', 'M=紙漿杯2托', 'N=紙漿杯托-4托', 'O=飲品封口紙', 'P=雙杯裝紙袋', 'Q=單杯裝紙袋', 'R=調賬費用']
Row 18: ['A=2026-07-02 00:00:00', 'B=449000', 'C=麥當勞(富善)McDonalds', 'D=852-26670558', 'E=新界大埔富善邨富善商場地下G25號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=3', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=600']
Row 19: ['A=2026-07-02 00:00:00', 'B=449001', 'C=麥當勞(元朗廣場II)McDonalds', 'D=852-24783431', 'E=新界元朗青山公路元朗廣場地下071-078號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=3', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=600']
Row 20: ['A=2026-07-02 00:00:00', 'B=450156', 'C=元氣壽司(迎海薈)GenkiSushi', 'D=852-29670688', 'E=新界馬鞍山烏溪沙路8號, 迎海薈地下5A號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=2', 'L=0', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=560']
Row 21: ['A=2026-07-02 00:00:00', 'B=450671', 'C=麥當勞(慈雲山)McDonalds', 'D=852-27528426', 'E=九龍慈雲山毓華街23號慈雲山中心333號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=2', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=400']
Row 22: ['A=2026-07-02 00:00:00', 'B=450672', 'C=麥當勞(長亨)McDonalds', 'D=852-24975055', 'E=新界青衣長亨邨長亨商場LG1樓115-117號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=2', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=400']
Row 23: ['A=2026-07-02 00:00:00', 'B=451667', 'C=麥當勞（家維邨）McDonalds', 'D=852-29945909', 'E=馬頭圍道46-48號家維邨家廉樓地下上層19-20號舖及家興樓地下上層5-6號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=8', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=1600']
Row 24: ['A=2026-07-02 00:00:00', 'B=452187', 'C=麥當勞(禮頓中心)McDonalds', 'D=852-31264113', 'E=香港銅鑼灣禮頓道77號禮頓中心地庫B2號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=3', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=600']
Row 25: ['A=2026-07-02 00:00:00', 'B=453966', 'C=麥當勞(樂富II)McDonalds', 'D=852-23385032', 'E=九龍聯合道198號 樂富廣場3樓3112, 3113及3114號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=3', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=600']
Row 26: ['A=2026-07-02 00:00:00', 'B=455432', 'C=麥當勞(利東)McDonalds', 'D=852-28749654', 'E=香港鴨脷洲利東邨利東商場第二期212號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=3', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=600']
Row 27: ['A=2026-07-02 00:00:00', 'B=455592', 'C=KokoroTokyoMazesoba（荃灣）東京名店連續多年外賣冠軍', 'D=852-63828446', 'E=荃灣大河道100號海之戀商場1樓1005號舖', 'F=0', 'G=0', 'H=0', 'I=0', 'J=0', 'K=0', 'L=1', 'M=0', 'N=0', 'O=0', 'P=0', 'Q=0', 'R=200']
